,Precision,Recall,F1,Gmean,AUC
apache-ant-1.7.0.csv,0,0,0.00%,0,0.970434783
apache-jmeter-2.10.csv,0.199998,0.399992,26.66%,0.631378153,0.990651438
argouml.csv,0.659573766,0.553570934,60.19%,0.73945009,0.969204807
columba-1.4-src.csv,0.384612426,0.499995,43.47%,0.705561015,0.991149237
emf-2.4.1.csv,0.499975001,0.166663889,25.00%,0.408076697,0.882207578
hibernate-distribution-3.3.2.GA.csv,0.199998667,0.230767456,21.42%,0.4769675,0.948051948
jEdit-4.2.csv,0.99990001,0.166663889,28.57%,0.408244878,0.991308793
jfreechart-1.0.19.csv,0.249997917,0.499991667,33.33%,0.704576995,0.992478226
jruby-1.4.0.csv,0.666662963,0.333332407,44.44%,0.576068817,0.974150665
sql12.csv,0.526313019,0.555552469,54.05%,0.743654551,0.93965081
,,,33.71%,,
