,Precision,Recall,F1,Gmean,AUC
apache-ant-1.7.0.csv,0.21875,0.073684211,11.02%,27.06%,67.15%
apache-jmeter-2.10.csv,0.865771812,0.408227848,55.48%,63.81%,77.99%
argouml.csv,0.613605442,0.563046192,58.72%,73.76%,83.90%
columba-1.4-src.csv,0.916666667,0.174603175,29.33%,41.78%,66.02%
emf-2.4.1.csv,0.347826087,0.102564103,15.84%,31.97%,66.73%
hibernate-distribution-3.3.2.GA.csv,0.766081871,0.369014085,49.81%,60.27%,75.91%
jEdit-4.2.csv,0.6,0.12244898,20.34%,34.96%,66.42%
jfreechart-1.0.19.csv,0.657142857,0.125,21.00%,35.30%,58.59%
jruby-1.4.0.csv,0.704918033,0.376093294,49.05%,60.95%,76.19%
sql12.csv,0.513043478,0.282296651,36.42%,52.92%,78.04%
,0.620380625,0.259697854,34.70%,48.28%,71.69%
