0.6181 ,0.3692 ,0.2162 ,0.5957 ,0.5999 ,0.4545 
0.7182 ,0.6363 ,0.5390 ,0.7261 ,0.7650 ,0.8023 
0.7753 ,0.6454 ,0.6531 ,0.7915 ,0.7593 ,0.7584 
0.7857 ,0.4705 ,0.7058 ,0.8051 ,0.8139 ,0.7804 
0.6779 ,0.5245 ,0.2162 ,0.5454 ,0.6792 ,0.6666 
0.7363 ,0.6767 ,0.5806 ,0.8253 ,0.7794 ,0.6666 
0.7422 ,0.6326 ,0.2727 ,0.6666 ,0.6813 ,0.5384 
0.7920 ,0.7809 ,0.3333 ,0.7619 ,0.8037 ,0.6265 
0.7692 ,0.5948 ,0.6378 ,0.8170 ,0.7698 ,0.7593 
0.6599 ,0.5919 ,0.6315 ,0.6857 ,0.7307 ,0.6371 
0.7275 ,0.5923 ,0.4786 ,0.7220 ,0.7382 ,0.6690 
