0.3333 ,0.0000 ,0.3000 ,0.0909 ,0.2608 ,0.3636 
0.1702 ,0.0889 ,0.1455 ,0.1017 ,0.0816 ,0.1162 
0.3757 ,0.5333 ,0.1374 ,0.3220 ,0.2226 ,0.1899 
0.5299 ,0.3077 ,0.3099 ,0.4210 ,0.4273 ,0.4576 
0.4347 ,0.1000 ,0.2069 ,0.3846 ,0.2608 ,0.2608 
0.3529 ,0.1764 ,0.3232 ,0.4966 ,0.3902 ,0.3448 
0.2353 ,0.2307 ,0.1905 ,0.1111 ,0.1250 ,0.1176 
0.3859 ,0.3157 ,0.2286 ,0.2592 ,0.2250 ,0.1296 
0.4978 ,0.3291 ,0.2044 ,0.3783 ,0.2000 ,0.2700 
0.4615 ,0.3829 ,0.2500 ,0.3636 ,0.3913 ,0.3434 
0.3777 ,0.2465 ,0.2296 ,0.2929 ,0.2585 ,0.2593 
