0.5130 ,0.3557 ,0.1102 ,0.5620 ,0.5153 ,0.4444 
0.7100 ,0.4915 ,0.5548 ,0.7158 ,0.7185 ,0.6816 
0.7210 ,0.5151 ,0.5872 ,0.7209 ,0.7292 ,0.7126 
0.6153 ,0.4224 ,0.2933 ,0.6074 ,0.5809 ,0.5910 
0.5619 ,0.3482 ,0.1584 ,0.4655 ,0.5373 ,0.5269 
0.7156 ,0.5718 ,0.4981 ,0.7449 ,0.7295 ,0.7526 
0.4291 ,0.4412 ,0.2034 ,0.4751 ,0.4354 ,0.5408 
0.4142 ,0.2327 ,0.2100 ,0.4137 ,0.4214 ,0.3684 
0.7085 ,0.5243 ,0.4905 ,0.7660 ,0.7286 ,0.7469 
0.5574 ,0.2698 ,0.3642 ,0.6080 ,0.5238 ,0.4784 
0.5946 ,0.4173 ,0.3470 ,0.6079 ,0.5920 ,0.5844 
